"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m","relative_auto","percentage"
"111","CBB",3280.92839282467,870.060963334632,5691.79582231471,0.504498553915246,"chemoautotrophy","4500",50,0.879790529313883,50.4498553915246
"112","WL",0.547111111111112,0,2.73555555555556,8.41276405148502e-05,"chemoautotrophy","4500",50,0.00014670944208677,0.00841276405148502
"113","rTCA",0,0,0,0,"chemoautotrophy","4500",50,0,0
"114","total",NA,NA,NA,0.573430307676404,NA,"4500",50,NA,57.3430307676404
"115","3HP Bicycle",453.763072549215,0,1396.01372784545,0.0638423704219933,"chemoautotrophy","4500",150,0.289939367962603,6.38423704219933
"116","3HP/4HB or DC/4HB",439.887049674623,0,1319.66114902387,0.061890078034323,"chemoautotrophy","4500",150,0.281073055242417,6.1890078034323
"117","CBB",638.869345225434,585.299339011844,692.439351439023,0.0898859688162807,"chemoautotrophy","4500",150,0.408216061136738,8.98859688162807
"118","WL",0,0,0,0,"chemoautotrophy","4500",150,0,0
"119","rTCA",32.5079923875789,0,158.752307616907,0.00457372452108926,"chemoautotrophy","4500",150,0.0207715156582414,0.457372452108926
"120","total",NA,NA,NA,0.220192141793686,NA,"4500",150,NA,22.0192141793686
"121","3HP Bicycle",266.044328695573,0,956.997379915006,0.0385594084774428,"chemoautotrophy","4500",500,0.204409425277728,3.85594084774428
"122","3HP/4HB or DC/4HB",254.514467107788,0,763.543401323365,0.0368883161266621,"chemoautotrophy","4500",500,0.195550704656821,3.68883161266621
"123","CBB",779.135115194813,168.681450814896,1389.58877957473,0.112924749470204,"chemoautotrophy","4500",500,0.598631671238922,11.2924749470204
"124","WL",0,0,0,0,"chemoautotrophy","4500",500,0,0
"125","rTCA",1.83280839895013,0,9.16404199475066,0.000265639970836868,"chemoautotrophy","4500",500,0.00140819882652821,0.0265639970836868
"126","total",NA,NA,NA,0.188638114045146,NA,"4500",500,NA,18.8638114045146
"127","3HP Bicycle",364.503348097871,0,1258.33515991832,0.0600120057618562,"chemoautotrophy","4500",1000,0.277363463845338,6.00120057618562
"128","3HP/4HB or DC/4HB",40.8091915486057,0,122.427574645817,0.00671884483676685,"chemoautotrophy","4500",1000,0.0310531543364861,0.671884483676685
"129","CBB",905.807656673901,646.483018815232,1165.13229453257,0.149132606312444,"chemoautotrophy","4500",1000,0.689261019257476,14.9132606312444
"130","WL",0,0,0,0,"chemoautotrophy","4500",1000,0,0
"131","rTCA",3.05198427051742,0,15.2599213525871,0.000502480151645157,"chemoautotrophy","4500",1000,0.00232236256069973,0.0502480151645157
"132","total",NA,NA,NA,0.216365937062712,NA,"4500",1000,NA,21.6365937062712
"133","3HP Bicycle",480.22326670701,0,1473.15444988729,0.0475764815057299,"chemoautotrophy","4500",2000,0.261246576020943,4.75764815057299
"134","3HP/4HB or DC/4HB",389.326461690047,0,1167.97938507014,0.0385711907115669,"chemoautotrophy","4500",2000,0.211797745178657,3.85711907115669
"135","CBB",965.586900434265,642.04766229767,1289.12613857086,0.0956622273337579,"chemoautotrophy","4500",2000,0.52528956649456,9.56622273337579
"136","WL",0,0,0,0,"chemoautotrophy","4500",2000,0,0
"137","rTCA",3.06264643310416,0,15.3132321655208,0.000303421244835413,"chemoautotrophy","4500",2000,0.00166611230583996,0.0303421244835413
"138","total",NA,NA,NA,0.18211332079589,NA,"4500",2000,NA,18.211332079589
